Ticker,date,close,daily_return,cumulative_return
ADANIENT,2023-10-03 05:30:00,2387.25,,
ADANIENT,2023-10-04 05:30:00,2464.95,0.03254791077599739,1.0325479107759974
ADANIENT,2023-10-05 05:30:00,2466.35,0.0005679628390029556,1.0331343596188083
ADANIENT,2023-10-06 05:30:00,2478.1,0.004764125124171237,1.0380563409781127
ADANIENT,2023-10-09 05:30:00,2442.6,-0.014325491303821436,1.023185673892554
ADANIENT,2023-10-10 05:30:00,2498.3,0.022803569966429293,1.046517959995811
ADANIENT,2023-10-11 05:30:00,2488.6,-0.0038826401953329093,1.0424547072991934
ADANIENT,2023-10-12 05:30:00,2506.35,0.007132524310857535,1.049890040841973
ADANIENT,2023-10-13 05:30:00,2454.55,-0.020667504538472214,1.0281914336579747
ADANIENT,2023-10-16 05:30:00,2429.35,-0.010266647654356253,1.0176353544873808
ADANIENT,2023-10-17 05:30:00,2428.4,-0.00039105110420478706,1.0172374070583308
ADANIENT,2023-10-18 05:30:00,2406.35,-0.009080052709603104,1.0080008377840612
ADANIENT,2023-10-19 05:30:00,2402.2,-0.0017246036528352215,1.006262435857158
ADANIENT,2023-10-20 05:30:00,2393.75,-0.0035176088585462395,1.0027227981987645
ADANIENT,2023-10-23 05:30:00,2308.65,-0.035550913838120035,0.9670750863964817
ADANIENT,2023-10-25 05:30:00,2257.0,-0.022372382128083568,0.9454393130170702
ADANIENT,2023-10-26 05:30:00,2203.2,-0.023836951705804243,0.9229029217719136
ADANIENT,2023-10-27 05:30:00,2261.7,0.026552287581699252,0.9474081055607919
ADANIENT,2023-10-30 05:30:00,2299.1,0.01653623380642877,0.9630746675044509
ADANIENT,2023-10-31 05:30:00,2294.65,-0.0019355399939106066,0.9612105979683739
ADANIENT,2023-11-01 05:30:00,2217.3,-0.03370884448608713,0.9288092994030792
ADANIENT,2023-11-02 05:30:00,2215.3,-0.0009019979254047961,0.9279715153419209
ADANIENT,2023-11-03 05:30:00,2229.85,0.006567959192885775,0.934066394386847
ADANIENT,2023-11-06 05:30:00,2246.0,0.007242639639437609,0.9408315006806998
ADANIENT,2023-11-07 05:30:00,2233.35,-0.005632235084594872,0.9355325164938739
ADANIENT,2023-11-08 05:30:00,2259.95,0.011910358877918803,0.9466750445072785
ADANIENT,2023-11-09 05:30:00,2214.65,-0.02004469125423114,0.9276992355220446
ADANIENT,2023-11-10 05:30:00,2205.1,-0.004312193800374842,0.923698816630014
ADANIENT,2023-11-12 05:30:00,2211.35,0.0028343385787492625,0.9263168918211334
ADANIENT,2023-11-13 05:30:00,2213.65,0.001040088633640135,0.9272803434914655
ADANIENT,2023-11-15 05:30:00,2225.4,0.005307975515551178,0.93220232485077
